rel_filepath,abs_filepath,note_exists,n_backlinks,n_wikilinks,n_tags,n_embedded_files,modified_time
000 🕳 origin/000-obsidian-systematization.md,/home/leo/library/areas/obsidian/000 🕳 origin/000-obsidian-systematization.md,True,0,1.0,0.0,0.0,2025-04-21 16:42:16.000000000
070 🌱 personal/70.03 🌱 bedroom redecoration/feng shui elements.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.03 🌱 bedroom redecoration/feng shui elements.md,True,1,0.0,0.0,1.0,2025-03-30 20:17:24.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌱 plantamata_home.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌱 plantamata_home.md,True,1,4.0,0.0,0.0,2024-08-24 12:27:36.000000000
050 🛠 craft/50.02 💜 dev/languages/C.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/languages/C.md,True,1,0.0,0.0,0.0,2024-08-28 10:43:48.000000000
070 🌱 personal/70.01 🌱 notes/shopping list.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/shopping list.md,True,4,1.0,0.0,0.0,2025-05-03 17:55:38.903828621
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/music-release-plan.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/music-release-plan.md,True,0,1.0,0.0,0.0,2025-03-28 21:43:02.000000000
030 🚀 projects/30.03 💻 dev/spotify data.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.03 💻 dev/spotify data.md,True,0,0.0,1.0,0.0,2025-04-21 14:24:06.000000000
020 ⭐ concepts/20.01 ⭐ economics & money/Economic Strategy.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.01 ⭐ economics & money/Economic Strategy.md,True,1,0.0,0.0,0.0,2024-10-02 13:31:06.000000000
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/insonorización.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/insonorización.md,True,0,0.0,0.0,0.0,2025-03-11 16:49:40.000000000
050 🛠 craft/50.02 💜 dev/💭 learning resources.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/💭 learning resources.md,True,0,3.0,0.0,0.0,2024-08-30 10:22:10.000000000
050 🛠 craft/50.01 ✏ design/AI + UI.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/AI + UI.md,True,0,1.0,0.0,0.0,2025-03-05 21:58:12.000000000
060 🐆 business/60.02 🐆 job postings/job posts/00. README.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/00. README.md,True,0,0.0,0.0,0.0,2025-04-18 15:54:04.000000000
040 📚 library/40.02 📚 tech/Arch Linux/filesystem philosophy.md,/home/leo/library/areas/obsidian/040 📚 library/40.02 📚 tech/Arch Linux/filesystem philosophy.md,True,2,2.0,0.0,0.0,2025-05-03 13:59:59.488034248
040 📚 library/40.02 📚 tech/Arch Linux/hyprland.md,/home/leo/library/areas/obsidian/040 📚 library/40.02 📚 tech/Arch Linux/hyprland.md,True,1,0.0,0.0,0.0,2025-05-03 17:47:30.548866987
050 🛠 craft/50.02 💜 dev/languages/MarkovJunior.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/languages/MarkovJunior.md,True,3,0.0,0.0,0.0,2024-08-24 12:12:34.000000000
